ID Venta,Fecha,Sucursal,SKU,Nombre del Producto,Cantidad Vendida,Precio Unitario,Descuento Aplicado,Total Venta,Método de Pago,Cliente ID
4528,2023-04-17,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,500,1500,Billetera Digital,C00127
4537,2023-09-13,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,500,1500,Efectivo,C00211
554,2023-03-15,Sucursal 1,BEB-00005,Agua Mineral,1,2000,500,1500,Efectivo,C00054
1704,2023-08-07,Sucursal 2,BEB-00005,Agua Mineral,1,2000,500,1500,Efectivo,C00111
2098,2023-05-03,Sucursal 3,BEB-00005,Agua Mineral,1,2000,500,1500,Transferencia,C00262
2778,2023-06-28,Sucursal 3,BEB-00005,Agua Mineral,1,2000,500,1500,Efectivo,C00190
2875,2023-12-23,Sucursal 3,BEB-00005,Agua Mineral,1,2000,500,1500,Billetera Digital,C00056
3991,2023-05-03,Sucursal 1,BEB-00005,Agua Mineral,1,2000,500,1500,Tarjeta de Débito,C00069
4241,2023-03-10,Sucursal 1,BEB-00005,Agua Mineral,1,2000,500,1500,Billetera Digital,C00196
4694,2023-07-31,Sucursal 1,BEB-00005,Agua Mineral,1,2000,500,1500,Billetera Digital,C00173
4787,2023-05-06,Sucursal 1,BEB-00005,Agua Mineral,1,2000,500,1500,Tarjeta de Crédito,C00102
4918,2023-08-05,Sucursal 1,BEB-00005,Agua Mineral,1,2000,500,1500,Transferencia,C00234
438,2023-10-14,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Crédito,C00138
759,2023-02-22,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Crédito,C00064
1425,2023-11-26,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Débito,C00111
2238,2023-03-02,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Débito,C00118
2328,2023-04-13,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,0,2000,Transferencia,C00016
3400,2023-09-24,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Débito,C00046
3503,2023-12-24,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,0,2000,Billetera Digital,C00132
3607,2023-06-15,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Crédito,C00136
4545,2023-05-16,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,0,2000,Efectivo,C00284
4547,2024-01-31,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,0,2000,Billetera Digital,C00025
4663,2023-06-09,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,0,2000,Billetera Digital,C00048
4726,2023-03-06,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,0,2000,Billetera Digital,C00140
4838,2023-10-08,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,0,2000,Billetera Digital,C00207
4868,2023-03-19,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Débito,C00164
4892,2023-08-12,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,0,2000,Tarjeta de Crédito,C00194
423,2023-01-04,Sucursal 3,LAC-00004,Leche Entera,1,3500,1500,2000,Billetera Digital,C00230
958,2023-08-02,Sucursal 1,LAC-00004,Leche Entera,1,3500,1500,2000,Transferencia,C00118
1022,2023-02-18,Sucursal 3,LAC-00004,Leche Entera,1,3500,1500,2000,Transferencia,C00019
1073,2023-09-21,Sucursal 1,LAC-00004,Leche Entera,1,3500,1500,2000,Transferencia,C00106
1844,2023-07-17,Sucursal 3,LAC-00004,Leche Entera,1,3500,1500,2000,Efectivo,C00019
2110,2024-01-28,Sucursal 2,LAC-00004,Leche Entera,1,3500,1500,2000,Billetera Digital,C00218
2656,2023-02-23,Sucursal 2,LAC-00004,Leche Entera,1,3500,1500,2000,Efectivo,C00100
2712,2023-08-27,Sucursal 2,LAC-00004,Leche Entera,1,3500,1500,2000,Tarjeta de Débito,C00140
3450,2023-09-11,Sucursal 1,LAC-00004,Leche Entera,1,3500,1500,2000,Tarjeta de Crédito,C00046
4494,2023-06-12,Sucursal 3,LAC-00004,Leche Entera,1,3500,1500,2000,Efectivo,C00277
399,2023-10-30,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00196
671,2023-04-15,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00076
886,2023-12-03,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00223
938,2023-08-12,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00018
1027,2023-04-03,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00248
1136,2023-02-07,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00227
1679,2023-05-19,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00267
1821,2023-09-25,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Transferencia,C00295
2811,2023-03-22,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00155
2846,2023-09-11,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Billetera Digital,C00284
2930,2023-10-10,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Billetera Digital,C00099
2962,2023-10-27,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Crédito,C00222
3128,2023-10-27,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Crédito,C00037
3311,2024-01-19,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Billetera Digital,C00012
3515,2023-01-06,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Billetera Digital,C00004
3611,2023-03-18,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Transferencia,C00228
3646,2023-05-09,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00295
3929,2023-01-07,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00127
3958,2023-08-20,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Crédito,C00113
3986,2023-01-07,Sucursal 1,BEB-00005,Agua Mineral,1,2000,0,2000,Transferencia,C00235
4214,2023-08-05,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00204
4226,2023-05-11,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00289
4261,2023-02-15,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Crédito,C00204
4335,2023-03-27,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Débito,C00238
4827,2023-08-18,Sucursal 3,BEB-00005,Agua Mineral,1,2000,0,2000,Tarjeta de Crédito,C00230
4851,2023-12-28,Sucursal 2,BEB-00005,Agua Mineral,1,2000,0,2000,Efectivo,C00128
62,2023-09-02,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1500,2500,Tarjeta de Crédito,C00106
150,2023-12-11,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,1500,2500,Billetera Digital,C00163
2107,2023-11-07,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1500,2500,Tarjeta de Crédito,C00038
3381,2024-01-14,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1500,2500,Tarjeta de Crédito,C00075
4368,2023-05-14,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1500,2500,Tarjeta de Crédito,C00199
4573,2023-01-30,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,1500,2500,Efectivo,C00194
740,2023-04-28,Sucursal 1,LAC-00004,Leche Entera,1,3500,1000,2500,Tarjeta de Débito,C00001
911,2023-01-08,Sucursal 3,LAC-00004,Leche Entera,1,3500,1000,2500,Tarjeta de Débito,C00113
2138,2023-10-07,Sucursal 1,LAC-00004,Leche Entera,1,3500,1000,2500,Tarjeta de Crédito,C00090
2426,2023-07-13,Sucursal 2,LAC-00004,Leche Entera,1,3500,1000,2500,Efectivo,C00177
2975,2023-06-22,Sucursal 1,LAC-00004,Leche Entera,1,3500,1000,2500,Transferencia,C00174
4100,2023-10-21,Sucursal 3,LAC-00004,Leche Entera,1,3500,1000,2500,Tarjeta de Crédito,C00151
4175,2023-03-13,Sucursal 2,LAC-00004,Leche Entera,1,3500,1000,2500,Efectivo,C00177
109,2024-01-04,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1500,2500,Efectivo,C00109
378,2023-10-16,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,1500,2500,Billetera Digital,C00019
528,2023-07-27,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,1500,2500,Tarjeta de Débito,C00119
1251,2023-10-08,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1500,2500,Billetera Digital,C00205
1980,2023-12-19,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1500,2500,Tarjeta de Crédito,C00177
2234,2023-11-30,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1500,2500,Billetera Digital,C00243
2396,2023-10-22,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1500,2500,Transferencia,C00070
2642,2024-01-26,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,1500,2500,Tarjeta de Débito,C00262
2684,2023-10-23,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,1500,2500,Transferencia,C00155
2687,2023-01-31,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,1500,2500,Efectivo,C00269
3662,2023-09-24,Sucursal 2,ABA-00009,Arroz Blanco,1,4000,1500,2500,Billetera Digital,C00056
4177,2023-09-13,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,1500,2500,Billetera Digital,C00293
4180,2023-03-07,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1500,2500,Billetera Digital,C00182
629,2023-07-26,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1500,2500,Transferencia,C00080
694,2023-04-16,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1500,2500,Efectivo,C00001
1063,2023-03-14,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1500,2500,Tarjeta de Débito,C00020
1387,2023-01-09,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1500,2500,Tarjeta de Débito,C00052
1749,2023-04-07,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1500,2500,Efectivo,C00096
1999,2023-07-08,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1500,2500,Billetera Digital,C00268
3267,2023-09-04,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1500,2500,Billetera Digital,C00099
4740,2024-01-22,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1500,2500,Tarjeta de Débito,C00025
4897,2023-11-13,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1500,2500,Efectivo,C00052
352,2023-07-16,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Transferencia,C00251
779,2023-12-25,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Tarjeta de Débito,C00007
1787,2023-08-30,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Tarjeta de Crédito,C00116
2502,2023-11-19,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Tarjeta de Débito,C00051
3645,2023-03-06,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Tarjeta de Débito,C00113
3760,2023-07-07,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Efectivo,C00005
3854,2023-11-03,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Billetera Digital,C00119
3894,2023-09-26,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Transferencia,C00229
4294,2023-09-28,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Tarjeta de Débito,C00183
4343,2023-06-24,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Transferencia,C00210
4747,2024-01-17,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Billetera Digital,C00041
4763,2023-10-18,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Tarjeta de Débito,C00002
4863,2023-05-26,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Transferencia,C00243
4993,2023-03-18,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,1000,3000,Billetera Digital,C00270
458,2023-07-14,Sucursal 3,LAC-00004,Leche Entera,1,3500,500,3000,Tarjeta de Crédito,C00228
596,2023-08-29,Sucursal 3,LAC-00004,Leche Entera,1,3500,500,3000,Billetera Digital,C00265
692,2023-08-14,Sucursal 2,LAC-00004,Leche Entera,1,3500,500,3000,Transferencia,C00263
764,2023-01-29,Sucursal 3,LAC-00004,Leche Entera,1,3500,500,3000,Tarjeta de Débito,C00028
1214,2023-04-16,Sucursal 1,LAC-00004,Leche Entera,1,3500,500,3000,Tarjeta de Crédito,C00250
1564,2023-05-30,Sucursal 3,LAC-00004,Leche Entera,1,3500,500,3000,Tarjeta de Crédito,C00178
2411,2023-02-11,Sucursal 2,LAC-00004,Leche Entera,1,3500,500,3000,Efectivo,C00160
4045,2023-11-10,Sucursal 3,LAC-00004,Leche Entera,1,3500,500,3000,Efectivo,C00026
4850,2023-05-16,Sucursal 2,LAC-00004,Leche Entera,1,3500,500,3000,Transferencia,C00002
224,2023-08-14,Sucursal 2,ABA-00009,Arroz Blanco,1,4000,1000,3000,Tarjeta de Crédito,C00201
736,2023-06-11,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1000,3000,Tarjeta de Crédito,C00125
945,2023-03-28,Sucursal 2,ABA-00009,Arroz Blanco,1,4000,1000,3000,Tarjeta de Débito,C00273
2510,2023-11-08,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1000,3000,Efectivo,C00288
2800,2023-09-29,Sucursal 2,ABA-00009,Arroz Blanco,1,4000,1000,3000,Tarjeta de Crédito,C00276
3995,2023-02-20,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1000,3000,Tarjeta de Crédito,C00206
4245,2023-11-24,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,1000,3000,Efectivo,C00152
207,2023-04-15,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1000,3000,Tarjeta de Crédito,C00133
529,2023-02-20,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1000,3000,Transferencia,C00172
833,2023-10-17,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1000,3000,Efectivo,C00270
1026,2023-05-02,Sucursal 2,BEB-00005,Agua Mineral,2,2000,1000,3000,Efectivo,C00022
1748,2023-05-16,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1000,3000,Efectivo,C00061
1836,2023-06-08,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1000,3000,Tarjeta de Débito,C00145
2101,2023-12-04,Sucursal 2,BEB-00005,Agua Mineral,2,2000,1000,3000,Tarjeta de Débito,C00080
2136,2023-05-19,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1000,3000,Transferencia,C00141
2567,2023-02-28,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1000,3000,Tarjeta de Débito,C00159
2591,2023-05-15,Sucursal 2,BEB-00005,Agua Mineral,2,2000,1000,3000,Tarjeta de Débito,C00131
3287,2023-05-06,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1000,3000,Transferencia,C00053
3936,2023-12-12,Sucursal 1,BEB-00005,Agua Mineral,2,2000,1000,3000,Tarjeta de Débito,C00172
4934,2023-07-29,Sucursal 3,BEB-00005,Agua Mineral,2,2000,1000,3000,Transferencia,C00298
447,2023-06-07,Sucursal 2,PAN-00003,Pan Integral,1,5000,1500,3500,Efectivo,C00073
799,2023-09-10,Sucursal 3,PAN-00003,Pan Integral,1,5000,1500,3500,Transferencia,C00300
2587,2023-02-23,Sucursal 2,PAN-00003,Pan Integral,1,5000,1500,3500,Transferencia,C00234
2766,2023-01-09,Sucursal 3,PAN-00003,Pan Integral,1,5000,1500,3500,Tarjeta de Crédito,C00149
3847,2023-07-26,Sucursal 1,PAN-00003,Pan Integral,1,5000,1500,3500,Efectivo,C00196
4269,2023-05-17,Sucursal 1,PAN-00003,Pan Integral,1,5000,1500,3500,Tarjeta de Crédito,C00225
4563,2023-11-10,Sucursal 1,PAN-00003,Pan Integral,1,5000,1500,3500,Transferencia,C00056
621,2023-09-19,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,500,3500,Billetera Digital,C00124
728,2023-12-28,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,500,3500,Billetera Digital,C00208
2215,2023-10-29,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,500,3500,Tarjeta de Crédito,C00221
2524,2023-03-04,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,500,3500,Efectivo,C00275
2943,2023-04-23,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,500,3500,Billetera Digital,C00025
3336,2023-10-04,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,500,3500,Tarjeta de Débito,C00254
3879,2023-08-22,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,500,3500,Transferencia,C00056
3909,2023-11-02,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,500,3500,Transferencia,C00017
4812,2023-06-01,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,500,3500,Tarjeta de Débito,C00078
97,2023-01-08,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Transferencia,C00220
285,2023-02-13,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Transferencia,C00074
306,2023-03-27,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Crédito,C00210
353,2023-07-18,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Débito,C00138
1107,2023-03-23,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Transferencia,C00050
1134,2023-11-02,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Efectivo,C00093
1494,2023-05-03,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Débito,C00295
1711,2023-06-08,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Billetera Digital,C00002
2090,2024-01-04,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Transferencia,C00107
2131,2023-05-28,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Billetera Digital,C00253
2318,2023-06-20,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Crédito,C00152
2453,2023-02-16,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Crédito,C00194
2532,2023-10-19,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Efectivo,C00183
2584,2023-12-31,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Billetera Digital,C00221
2782,2023-07-20,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Transferencia,C00117
2810,2023-08-14,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Crédito,C00120
3037,2023-05-02,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Efectivo,C00196
3340,2023-10-11,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Crédito,C00155
3430,2023-09-04,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Débito,C00265
3444,2023-07-12,Sucursal 2,LAC-00004,Leche Entera,1,3500,0,3500,Transferencia,C00123
3572,2023-11-08,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Efectivo,C00267
3631,2023-07-09,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Efectivo,C00066
3838,2023-05-18,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Crédito,C00020
4212,2023-12-29,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Débito,C00210
4317,2023-06-21,Sucursal 3,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Débito,C00095
4447,2023-02-05,Sucursal 1,LAC-00004,Leche Entera,1,3500,0,3500,Tarjeta de Débito,C00174
309,2023-01-14,Sucursal 2,ABA-00009,Arroz Blanco,1,4000,500,3500,Billetera Digital,C00192
706,2023-11-18,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,500,3500,Efectivo,C00023
1238,2023-02-13,Sucursal 3,ABA-00009,Arroz Blanco,1,4000,500,3500,Tarjeta de Crédito,C00038
2335,2023-05-10,Sucursal 2,ABA-00009,Arroz Blanco,1,4000,500,3500,Tarjeta de Débito,C00067
3772,2023-02-09,Sucursal 1,ABA-00009,Arroz Blanco,1,4000,500,3500,Tarjeta de Crédito,C00039
339,2023-05-05,Sucursal 3,BEB-00005,Agua Mineral,2,2000,500,3500,Tarjeta de Débito,C00014
647,2023-06-08,Sucursal 3,BEB-00005,Agua Mineral,2,2000,500,3500,Tarjeta de Débito,C00041
3145,2023-08-12,Sucursal 2,BEB-00005,Agua Mineral,2,2000,500,3500,Efectivo,C00276
3380,2024-01-08,Sucursal 3,BEB-00005,Agua Mineral,2,2000,500,3500,Tarjeta de Crédito,C00074
4664,2023-09-13,Sucursal 1,BEB-00005,Agua Mineral,2,2000,500,3500,Tarjeta de Débito,C00170
159,2023-01-29,Sucursal 1,PAN-00003,Pan Integral,1,5000,1000,4000,Efectivo,C00221
883,2023-10-13,Sucursal 1,PAN-00003,Pan Integral,1,5000,1000,4000,Tarjeta de Débito,C00013
998,2024-01-11,Sucursal 3,PAN-00003,Pan Integral,1,5000,1000,4000,Tarjeta de Débito,C00264
3273,2023-08-01,Sucursal 3,PAN-00003,Pan Integral,1,5000,1000,4000,Billetera Digital,C00023
3384,2024-01-03,Sucursal 2,PAN-00003,Pan Integral,1,5000,1000,4000,Tarjeta de Crédito,C00212
264,2023-02-18,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Transferencia,C00285
440,2023-11-19,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Crédito,C00098
644,2023-05-25,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Efectivo,C00104
896,2023-09-27,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Crédito,C00272
1149,2023-09-28,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Efectivo,C00106
1320,2023-12-20,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Débito,C00033
1345,2023-08-02,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Transferencia,C00083
1709,2023-12-03,Sucursal 3,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Débito,C00005
1955,2023-02-13,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Crédito,C00240
2178,2024-01-10,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Débito,C00291
2368,2023-12-01,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Débito,C00053
2409,2023-09-22,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Billetera Digital,C00037
2518,2023-04-05,Sucursal 2,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Crédito,C00143
2657,2023-04-19,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Tarjeta de Débito,C00038
2764,2023-09-11,Sucursal 1,VER-00002,Lechuga Orgánica,2,2000,0,4000,Billetera Digital,C00112
